year,month,tavg,tmax,tmin,pcp,zndx
2010,4,40.0,51.7,28.3,2.64,1.51
2010,5,44.1,55.3,32.9,2.77,2.34
2010,6,55.5,67.6,43.4,3.24,2.93
2010,7,64.2,80.2,48.1,0.52,1.25
2010,8,62.8,78.4,47.1,0.83,1.09
2010,9,56.4,71.6,41.2,0.94,-0.42
2010,10,47.5,59.3,35.6,2.49,0.92
2010,11,30.5,38.9,22.1,3.03,1.09
2010,12,26.6,33.7,19.6,4.22,2.33
2011,1,24.0,31.9,16.0,2.79,0.38
2011,2,24.3,33.6,15.0,1.93,-0.79
2011,3,33.4,42.3,24.6,3.88,2.95
2011,4,36.4,46.8,26.0,3.18,3.24
2011,5,45.8,57.2,34.4,3.15,2.71
2011,6,54.0,66.9,41.1,1.96,0.8
2011,7,64.3,80.2,48.3,0.55,0.84
2011,8,66.1,82.5,49.7,0.51,-0.61
2011,9,59.6,75.7,43.4,0.39,-2.14
2011,10,45.4,56.1,34.7,2.83,1.7
2011,11,30.5,40.0,21.1,1.99,-0.57
2011,12,24.8,34.7,15.0,1.53,-2.04
2012,1,26.8,36.0,17.7,3.33,0.08
2012,2,28.0,37.4,18.8,1.78,-1.07
2012,3,36.4,46.5,26.3,4.25,2.95
2012,4,44.4,57.2,31.6,2.12,-0.35
2012,5,49.0,62.2,35.8,1.91,-0.18
2012,6,56.9,71.6,42.1,1.6,-0.32
2012,7,68.5,84.5,52.6,0.93,0.07
2012,8,67.3,84.2,50.3,0.28,-1.92
2012,9,58.4,74.9,42.0,0.32,-2.34
2012,10,43.7,56.1,31.3,2.32,1.01
2012,11,36.0,44.4,27.6,2.75,-0.37
2012,12,25.8,32.6,18.9,4.12,1.41
2013,1,20.2,29.1,11.3,1.9,-0.99
2013,2,27.5,36.6,18.4,1.07,-2.36
2013,3,35.1,46.4,23.8,1.47,-2.05
2013,4,40.1,52.0,28.3,1.81,-0.02
2013,5,51.0,64.4,37.6,1.51,-1.3
2013,6,59.3,74.1,44.6,1.35,-1.29
2013,7,69.6,86.2,53.0,0.53,-2.09
2013,8,67.6,83.8,51.4,0.71,-1.76
2013,9,57.1,69.2,45.0,2.96,2.96
2013,10,42.1,54.2,30.0,0.85,-1.35
2013,11,33.8,43.3,24.2,1.72,-2.34
2013,12,21.1,29.8,12.4,1.76,-2.96
2014,1,27.7,36.7,18.7,2.02,-3.19
2014,2,28.0,36.3,19.8,3.68,1.53
2014,3,36.2,46.8,25.6,3.92,2.37
2014,4,41.6,53.8,29.3,2.15,0.28
2014,5,51.6,65.2,37.8,1.26,-1.87
2014,6,56.7,70.4,42.9,1.32,-1.17
2014,7,69.3,85.3,53.2,0.39,-2.24
2014,8,63.8,77.4,50.1,2.29,2.13
2014,9,57.6,71.9,43.4,1.53,0.21
2014,10,48.5,61.0,36.0,1.29,-1.53
2014,11,31.1,40.3,21.8,3.32,0.56
2014,12,29.1,36.2,22.0,3.3,0.36
2015,1,28.7,36.7,20.7,2.06,-0.75
2015,2,35.2,44.8,25.6,1.86,-1.51
2015,3,40.8,53.5,28.1,1.51,-3.26
2015,4,42.3,55.3,29.4,1.23,-1.52
2015,5,51.8,63.8,39.8,2.89,1.05
2015,6,64.7,80.0,49.5,0.77,-2.69
2015,7,65.1,79.6,50.6,1.37,-0.34
2015,8,65.8,81.4,50.2,0.76,-0.77
2015,9,57.2,71.9,42.5,1.31,-0.17
2015,10,50.7,62.6,38.7,1.69,-1.15
2015,11,29.9,38.7,21.0,2.51,-0.71
2015,12,24.3,31.5,17.1,4.56,1.59
2016,1,25.8,33.2,18.4,2.66,0.18
2016,2,31.9,41.2,22.5,1.65,-1.3
2016,3,37.0,46.6,27.4,3.58,1.54
2016,4,47.0,59.7,34.2,1.65,-1.73
2016,5,50.6,63.0,38.2,2.21,-0.04
2016,6,61.2,76.4,45.9,0.8,-2.34
2016,7,64.8,80.6,49.0,0.72,-1.79
2016,8,64.7,81.3,48.2,0.15,-2.47
2016,9,54.6,67.8,41.5,1.82,0.99
2016,10,45.7,55.4,36.0,4.54,4.69
2016,11,38.7,48.2,29.2,1.44,-1.36
2016,12,19.1,27.6,10.7,3.66,1.12
2017,1,18.5,27.3,9.8,3.33,1.22
2017,2,29.5,37.2,21.8,4.91,4.65
2017,3,38.5,47.8,29.2,4.14,2.27
2017,4,40.3,50.9,29.8,2.95,2.0
2017,5,50.6,64.1,37.0,1.6,-1.06
2017,6,59.1,73.2,45.0,1.69,-0.58
2017,7,70.0,86.4,53.5,0.33,-2.01
2017,8,66.9,82.9,50.8,0.35,-2.56
2017,9,55.7,69.0,42.4,2.09,1.35
2017,10,41.9,53.9,29.8,1.65,0.09
2017,11,34.9,43.1,26.6,3.55,0.71
2017,12,25.2,33.5,16.9,2.24,-0.91
2018,1,30.4,38.1,22.8,2.78,-0.08
2018,2,26.2,35.1,17.4,2.33,-0.06
2018,3,33.7,43.7,23.6,2.75,0.73
2018,4,42.4,53.8,30.9,2.54,0.82
2018,5,54.0,66.5,41.4,2.47,-0.09
2018,6,57.7,71.2,44.2,1.64,-0.38
2018,7,68.4,84.9,51.8,0.12,-1.78
2018,8,65.0,80.8,49.1,0.53,-1.84
2018,9,56.2,71.7,40.6,0.16,-2.49
2018,10,44.0,55.4,32.7,1.94,0.26
2018,11,32.0,41.3,22.7,2.38,-0.66
2018,12,24.3,32.0,16.6,2.24,-1.45
2019,1,26.3,34.9,17.8,2.22,-1.57
