year,month,tavg,tmax,tmin,pcp,zndx
2010,5,54.2,65.4,43.1,3.69,3.06
2010,6,65.9,77.1,54.7,4.92,3.68
2010,7,72.4,85.0,59.8,3.73,5.3
2010,8,73.6,87.1,60.0,2.02,3.0
2010,9,59.1,72.2,46.1,3.26,4.81
2010,10,51.6,65.2,38.0,1.0,-0.06
2010,11,32.1,43.0,21.2,0.33,-0.21
2010,12,17.7,26.7,8.6,0.95,2.01
2011,1,13.0,22.6,3.3,0.93,2.14
2011,2,16.3,26.6,6.0,1.13,2.72
2011,3,27.3,36.4,18.2,1.05,1.72
2011,4,43.1,53.4,32.7,2.29,2.48
2011,5,53.0,63.8,42.2,4.5,4.72
2011,6,64.7,76.3,53.0,4.52,3.19
2011,7,75.9,87.7,64.1,3.15,4.04
2011,8,71.6,84.7,58.5,2.32,2.88
2011,9,59.9,74.8,45.0,0.63,-1.1
2011,10,51.3,64.6,38.0,1.11,-0.29
2011,11,34.4,47.4,21.4,0.24,-1.02
2011,12,26.8,37.7,15.9,0.26,-0.57
2012,1,25.4,37.3,13.5,0.41,-0.04
2012,2,25.7,37.6,13.9,1.13,1.91
2012,3,47.0,61.6,32.4,0.37,-4.82
2012,4,50.2,63.5,36.8,3.06,0.24
2012,5,58.3,71.8,44.9,2.79,-0.58
2012,6,70.4,84.4,56.5,2.18,-3.27
2012,7,78.7,93.1,64.4,1.54,-3.85
2012,8,71.0,86.6,55.3,1.12,-3.49
2012,9,62.6,79.8,45.4,0.2,-3.76
2012,10,45.6,58.3,32.9,0.83,-0.58
2012,11,34.9,46.8,22.9,0.32,-1.34
2012,12,21.4,31.3,11.4,0.63,0.19
2013,1,19.4,29.6,9.2,0.45,-0.27
2013,2,23.8,33.8,13.7,0.7,0.14
2013,3,28.1,40.0,16.3,0.67,-1.47
2013,4,36.9,48.3,25.5,2.33,1.59
2013,5,55.9,68.5,43.2,4.82,3.79
2013,6,65.3,77.2,53.4,3.12,0.32
2013,7,71.8,84.5,59.1,2.47,1.53
2013,8,71.6,83.8,59.4,2.41,1.43
2013,9,65.8,79.5,52.2,1.91,0.46
2013,10,44.3,54.4,34.3,5.01,9.47
2013,11,32.1,44.1,20.0,0.3,0.25
2013,12,13.5,24.2,2.9,0.75,1.93
2014,1,18.3,30.2,6.4,0.24,0.45
2014,2,13.9,25.3,2.5,0.36,0.78
2014,3,29.4,41.5,17.3,0.76,1.32
2014,4,43.4,56.9,30.0,1.97,1.92
2014,5,55.6,67.8,43.4,2.42,0.53
2014,6,64.2,75.6,52.8,5.89,5.48
2014,7,69.5,82.4,56.5,1.04,0.45
2014,8,69.3,80.5,58.0,4.04,6.13
2014,9,60.5,73.8,47.2,1.61,1.2
2014,10,50.3,64.0,36.5,0.57,-1.19
2014,11,25.6,36.6,14.6,0.62,0.43
2014,12,24.2,33.7,14.8,0.67,1.02
2015,1,22.7,33.2,12.2,0.27,-0.13
2015,2,19.5,32.0,7.0,0.34,-0.12
2015,3,39.0,54.1,23.9,0.24,-2.81
2015,4,47.7,62.1,33.3,0.87,-2.78
2015,5,53.8,65.4,42.3,5.72,5.29
2015,6,67.6,79.4,55.8,4.05,1.46
2015,7,72.1,85.1,59.0,3.02,2.74
2015,8,69.8,82.9,56.8,3.36,4.25
2015,9,65.9,79.6,52.2,1.33,-0.28
2015,10,51.6,64.0,39.1,1.44,0.37
2015,11,36.4,47.8,25.0,1.02,0.73
2015,12,24.3,32.5,16.1,1.12,2.37
2016,1,19.8,28.6,11.0,0.27,-0.14
2016,2,31.2,41.0,21.4,0.58,0.61
2016,3,40.1,53.4,26.8,1.04,-1.0
2016,4,46.3,58.7,33.9,3.76,3.59
2016,5,56.7,70.3,43.1,2.54,0.37
2016,6,70.7,84.9,56.4,1.78,-2.66
2016,7,73.0,86.6,59.4,2.74,0.73
2016,8,71.0,84.5,57.4,2.61,1.22
2016,9,62.4,75.2,49.6,1.97,0.76
2016,10,51.6,64.6,38.7,1.23,-0.32
2016,11,42.0,54.1,29.8,0.91,-0.77
2016,12,15.4,24.6,6.2,1.25,2.46
2017,1,16.5,24.7,8.4,0.68,0.88
2017,2,29.4,39.9,18.9,0.37,-0.28
2017,3,35.5,46.8,24.2,0.66,-1.36
2017,4,46.1,58.9,33.2,1.94,-0.3
2017,5,56.0,69.3,42.6,2.12,-1.11
2017,6,68.1,82.6,53.6,2.19,-2.71
2017,7,76.0,91.0,61.0,2.12,-2.0
2017,8,67.4,80.3,54.6,3.17,2.07
2017,9,61.8,75.2,48.4,2.49,1.66
2017,10,48.0,61.5,34.5,1.24,0.13
2017,11,34.7,46.8,22.6,0.23,-1.4
2017,12,21.7,31.7,11.7,0.42,-0.36
2018,1,18.1,29.1,7.0,0.3,-0.67
2018,2,11.6,23.3,-0.1,0.94,0.94
2018,3,30.4,39.5,21.3,1.53,0.86
2018,4,36.7,48.6,24.7,1.7,0.94
2018,5,62.1,75.1,49.0,2.71,-1.07
2018,6,69.3,81.1,57.4,4.78,1.65
2018,7,72.2,84.6,59.8,3.4,2.29
2018,8,69.9,83.5,56.4,1.94,0.35
2018,9,61.5,73.3,49.6,2.55,2.25
2018,10,43.2,54.6,31.8,1.7,2.05
2018,11,29.3,39.0,19.6,0.73,0.68
2018,12,25.3,34.9,15.6,0.97,1.98
2019,1,18.0,27.4,8.5,0.49,0.63
2019,2,6.1,15.0,-2.8,1.01,2.09
2019,3,25.1,34.5,15.7,1.69,2.81
2019,4,44.2,55.6,32.9,2.64,2.82
2019,5,50.4,60.8,40.0,5.9,7.69
2019,6,66.3,78.8,53.8,2.63,-0.23
2019,7,72.1,83.6,60.7,5.45,7.64
2019,8,68.2,79.2,57.1,3.65,6.71
