year,month,tavg,tmax,tmin,pcp,zndx
2010,5,60.3,72.7,47.9,2.74,-1.62
2010,6,67.6,78.3,56.9,3.35,-0.99
2010,7,74.1,85.3,62.8,2.95,-1.72
2010,8,70.1,80.8,59.3,3.86,-0.84
2010,9,64.6,75.3,53.9,2.43,-2.18
2010,10,51.5,61.2,41.7,6.49,2.39
2010,11,41.0,49.8,32.2,3.82,-0.24
2010,12,27.8,35.5,20.1,4.06,0.32
2011,1,22.4,31.7,13.1,3.55,-0.14
2011,2,25.5,36.6,14.4,4.18,1.3
2011,3,35.4,44.6,26.2,3.89,-0.06
2011,4,47.7,57.4,37.9,5.36,1.34
2011,5,58.5,68.2,48.8,3.67,-0.47
2011,6,65.2,75.6,54.8,5.45,1.87
2011,7,72.8,84.0,61.5,2.51,-1.35
2011,8,69.8,79.7,59.9,9.49,5.95
2011,9,64.9,73.9,55.9,7.26,3.57
2011,10,52.6,61.5,43.6,7.26,4.41
2011,11,45.4,55.9,35.0,3.76,-0.63
2011,12,35.8,45.0,26.6,4.45,0.48
2012,1,30.4,39.1,21.8,3.22,-0.5
2012,2,33.6,43.1,24.2,1.08,-3.07
2012,3,44.1,54.5,33.7,1.66,-3.57
2012,4,48.7,60.7,36.8,2.9,-1.75
2012,5,60.4,70.2,50.6,4.79,0.46
2012,6,65.0,75.3,54.6,4.07,0.39
2012,7,73.0,84.2,61.6,2.67,-1.22
2012,8,71.5,82.4,60.5,4.8,0.47
2012,9,61.9,72.4,51.3,5.34,1.28
2012,10,53.5,62.4,44.6,4.66,1.17
2012,11,39.2,47.7,30.6,1.14,-2.8
2012,12,34.7,42.1,27.4,5.45,1.64
2013,1,27.5,36.3,18.7,1.92,-1.93
2013,2,28.4,36.0,20.9,4.25,1.4
2013,3,34.9,43.2,26.6,3.11,-0.89
2013,4,46.3,57.6,34.9,2.21,-2.24
2013,5,57.7,70.1,45.3,5.14,1.2
2013,6,67.0,77.4,56.5,9.59,6.15
2013,7,75.0,84.2,65.8,3.86,0.02
2013,8,68.0,78.9,57.2,3.62,-0.05
2013,9,60.8,72.3,49.4,3.45,-0.33
2013,10,51.8,62.9,40.8,1.48,-2.45
2013,11,38.8,48.7,28.8,3.69,-0.99
2013,12,29.4,37.6,21.1,4.07,0.33
2014,1,23.0,32.3,13.8,3.43,-0.27
2014,2,24.1,33.9,14.3,4.18,1.3
2014,3,29.1,39.7,18.4,4.51,0.96
2014,4,45.9,57.2,34.6,3.87,-0.19
2014,5,57.2,68.2,46.3,3.75,-0.21
2014,6,65.9,77.4,54.3,2.81,-1.09
2014,7,71.2,81.4,61.0,6.52,3.34
2014,8,67.2,78.2,56.2,3.07,-0.23
2014,9,62.3,73.7,50.9,1.43,-2.28
2014,10,53.3,62.2,44.3,6.21,2.32
2014,11,38.8,47.6,30.0,4.71,0.92
2014,12,34.7,41.2,28.2,5.61,1.81
2015,1,21.8,31.3,12.3,4.03,0.39
2015,2,14.6,26.0,3.1,2.99,-0.32
2015,3,29.3,39.6,19.1,2.84,-0.93
2015,4,45.5,56.4,34.7,2.55,-1.72
2015,5,61.8,75.3,48.3,0.96,-3.79
2015,6,63.6,73.9,53.3,6.57,2.6
2015,7,71.0,82.0,60.0,3.15,-0.46
2015,8,71.1,82.1,60.2,2.95,-1.26
2015,9,66.2,78.3,54.0,4.19,-0.39
2015,10,50.1,60.8,39.3,3.86,0.12
2015,11,44.7,55.0,34.4,2.48,-2.22
2015,12,41.8,49.5,34.0,4.82,0.39
2016,1,28.5,36.9,20.2,2.48,-1.32
2016,2,30.9,41.6,20.2,4.69,2.0
2016,3,41.0,51.0,31.0,3.04,-1.64
2016,4,45.0,56.5,33.5,2.94,-1.18
2016,5,57.2,68.1,46.3,2.98,-1.02
2016,6,66.1,78.0,54.1,1.77,-2.29
2016,7,72.6,84.3,60.9,2.27,-2.46
2016,8,72.5,84.0,61.0,3.18,-2.05
2016,9,64.6,75.4,53.8,2.36,-2.38
2016,10,52.2,62.4,42.0,4.91,0.46
2016,11,42.2,51.9,32.6,2.58,-2.3
2016,12,31.0,39.6,22.3,3.63,-0.32
2017,1,31.5,39.0,23.9,4.03,0.39
2017,2,33.0,42.7,23.3,2.68,-0.82
2017,3,31.5,40.8,22.3,3.21,-0.51
2017,4,50.2,60.7,39.8,5.51,1.16
2017,5,55.2,64.5,45.9,5.78,2.21
2017,6,66.0,77.1,54.8,4.45,0.68
2017,7,70.0,80.0,60.0,3.47,0.13
2017,8,68.0,79.1,56.9,2.89,-0.78
2017,9,65.1,75.2,55.0,3.42,-0.88
2017,10,57.5,68.2,46.7,6.94,2.65
2017,11,40.3,50.1,30.4,1.82,-2.19
2017,12,26.6,34.1,19.2,2.62,-1.22
2018,1,24.5,33.6,15.4,4.5,0.91
2018,2,34.3,43.8,24.8,4.88,2.06
2018,3,34.8,42.8,26.9,4.45,0.64
2018,4,42.3,52.2,32.4,4.99,1.66
2018,5,60.8,72.6,49.0,2.05,-2.5
2018,6,64.8,75.8,53.9,4.05,0.03
2018,7,73.3,84.3,62.2,4.65,0.71
2018,8,73.5,82.7,64.3,6.24,1.97
2018,9,65.2,73.6,56.7,7.6,3.47
2018,10,50.3,59.0,41.6,4.92,2.11
2018,11,37.8,45.1,30.5,8.77,5.21
2018,12,32.1,40.3,23.9,3.93,0.18
2019,1,25.9,34.8,17.1,5.3,1.79
2019,2,28.5,37.2,19.7,3.21,-0.02
2019,3,33.7,43.5,23.8,2.51,-1.45
2019,4,47.7,57.8,37.6,6.76,3.02
2019,5,55.3,64.9,45.6,3.7,-0.01
2019,6,65.5,76.0,54.9,4.35,0.64
