,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,1.6092881887910306,-1.3343634364579413,1.1908773367968408,-1.5527754922619696,1.6077757056666826,-0.87487165649419,0.9588412256260187,-1.5179446006941089
2010-02,1.6092881887910306,-1.3343634364579413,1.1908773367968408,-1.5527754922619696,1.6077757056666826,-0.87487165649419,0.9588412256260187,-1.5179446006941089
2010-03,1.6092881887910306,-1.3343634364579413,1.1908773367968408,-1.5527754922619696,1.6077757056666826,-0.87487165649419,0.9588412256260187,-1.5179446006941089
2010-04,1.6092881887910306,-1.3343634364579413,1.1908773367968408,-1.5527754922619696,1.6077757056666826,-0.87487165649419,0.9588412256260187,-1.5179446006941089
2010-05,1.6092881887910306,-1.3343634364579413,1.1908773367968408,-1.5527754922619696,1.6077757056666826,-0.87487165649419,0.9588412256260187,-1.5179446006941089
2010-06,1.6092881887910306,-1.3343634364579413,1.1908773367968408,-1.5527754922619696,1.6077757056666826,-0.87487165649419,0.9588412256260187,-1.5179446006941089
2010-07,1.6092881887910306,-1.3343634364579413,1.1908773367968408,-1.5527754922619696,1.6077757056666826,-0.87487165649419,0.9588412256260187,-1.5179446006941089
2010-08,1.6092881887910306,-1.3343634364579413,1.1908773367968408,-1.5527754922619696,1.6077757056666826,-0.87487165649419,0.9588412256260187,-1.5179446006941089
2010-09,1.6092881887910306,-1.3343634364579413,1.1908773367968408,-1.5527754922619696,1.6077757056666826,-0.87487165649419,0.9588412256260187,-1.5179446006941089
2010-10,1.6092881887910306,-1.3343634364579413,1.1908773367968408,-1.5527754922619696,1.6077757056666826,-0.87487165649419,0.9588412256260187,-1.5179446006941089
2010-11,1.6092881887910306,-1.3343634364579413,1.1908773367968408,-1.5527754922619696,1.6077757056666826,-0.87487165649419,0.9588412256260187,-1.5179446006941089
2010-12,1.6092881887910306,-1.3343634364579413,1.1908773367968408,-1.5527754922619696,1.6077757056666826,-0.87487165649419,0.9588412256260187,-1.5179446006941089
2011-01,1.3610087559793513,-1.0775826131098403,1.2094557480429806,-1.3655404392219892,1.3249587169749724,-1.3433929695323117,1.1877174271664512,-1.335111634904359
2011-02,1.3610087559793513,-1.0775826131098403,1.2094557480429806,-1.3655404392219892,1.3249587169749724,-1.3433929695323117,1.1877174271664512,-1.335111634904359
2011-03,1.3610087559793513,-1.0775826131098403,1.2094557480429806,-1.3655404392219892,1.3249587169749724,-1.3433929695323117,1.1877174271664512,-1.335111634904359
2011-04,1.3610087559793513,-1.0775826131098403,1.2094557480429806,-1.3655404392219892,1.3249587169749724,-1.3433929695323117,1.1877174271664512,-1.335111634904359
2011-05,1.3610087559793513,-1.0775826131098403,1.2094557480429806,-1.3655404392219892,1.3249587169749724,-1.3433929695323117,1.1877174271664512,-1.335111634904359
2011-06,1.3610087559793513,-1.0775826131098403,1.2094557480429806,-1.3655404392219892,1.3249587169749724,-1.3433929695323117,1.1877174271664512,-1.335111634904359
2011-07,1.3610087559793513,-1.0775826131098403,1.2094557480429806,-1.3655404392219892,1.3249587169749724,-1.3433929695323117,1.1877174271664512,-1.335111634904359
2011-08,1.3610087559793513,-1.0775826131098403,1.2094557480429806,-1.3655404392219892,1.3249587169749724,-1.3433929695323117,1.1877174271664512,-1.335111634904359
2011-09,1.3610087559793513,-1.0775826131098403,1.2094557480429806,-1.3655404392219892,1.3249587169749724,-1.3433929695323117,1.1877174271664512,-1.335111634904359
2011-10,1.3610087559793513,-1.0775826131098403,1.2094557480429806,-1.3655404392219892,1.3249587169749724,-1.3433929695323117,1.1877174271664512,-1.335111634904359
2011-11,1.3610087559793513,-1.0775826131098403,1.2094557480429806,-1.3655404392219892,1.3249587169749724,-1.3433929695323117,1.1877174271664512,-1.335111634904359
2011-12,1.3610087559793513,-1.0775826131098403,1.2094557480429806,-1.3655404392219892,1.3249587169749724,-1.3433929695323117,1.1877174271664512,-1.335111634904359
2012-01,1.0952958808513884,-1.1862643907888202,1.2290277566410797,-1.1487278168868416,1.0454068868875617,-1.6220012414085105,1.3204529299831653,-1.1247724412581246
2012-02,1.0952958808513884,-1.1862643907888202,1.2290277566410797,-1.1487278168868416,1.0454068868875617,-1.6220012414085105,1.3204529299831653,-1.1247724412581246
2012-03,1.0952958808513884,-1.1862643907888202,1.2290277566410797,-1.1487278168868416,1.0454068868875617,-1.6220012414085105,1.3204529299831653,-1.1247724412581246
2012-04,1.0952958808513884,-1.1862643907888202,1.2290277566410797,-1.1487278168868416,1.0454068868875617,-1.6220012414085105,1.3204529299831653,-1.1247724412581246
2012-05,1.0952958808513884,-1.1862643907888202,1.2290277566410797,-1.1487278168868416,1.0454068868875617,-1.6220012414085105,1.3204529299831653,-1.1247724412581246
2012-06,1.0952958808513884,-1.1862643907888202,1.2290277566410797,-1.1487278168868416,1.0454068868875617,-1.6220012414085105,1.3204529299831653,-1.1247724412581246
2012-07,1.0952958808513884,-1.1862643907888202,1.2290277566410797,-1.1487278168868416,1.0454068868875617,-1.6220012414085105,1.3204529299831653,-1.1247724412581246
2012-08,1.0952958808513884,-1.1862643907888202,1.2290277566410797,-1.1487278168868416,1.0454068868875617,-1.6220012414085105,1.3204529299831653,-1.1247724412581246
2012-09,1.0952958808513884,-1.1862643907888202,1.2290277566410797,-1.1487278168868416,1.0454068868875617,-1.6220012414085105,1.3204529299831653,-1.1247724412581246
2012-10,1.0952958808513884,-1.1862643907888202,1.2290277566410797,-1.1487278168868416,1.0454068868875617,-1.6220012414085105,1.3204529299831653,-1.1247724412581246
2012-11,1.0952958808513884,-1.1862643907888202,1.2290277566410797,-1.1487278168868416,1.0454068868875617,-1.6220012414085105,1.3204529299831653,-1.1247724412581246
2012-12,1.0952958808513884,-1.1862643907888202,1.2290277566410797,-1.1487278168868416,1.0454068868875617,-1.6220012414085105,1.3204529299831653,-1.1247724412581246
2013-01,0.8463140634808072,-1.0775826131098403,1.039875081999281,-0.8800816861226616,0.8333184206948592,-1.1724999306107702,1.0724218151867662,-0.9055047500477671
2013-02,0.8463140634808072,-1.0775826131098403,1.039875081999281,-0.8800816861226616,0.8333184206948592,-1.1724999306107702,1.0724218151867662,-0.9055047500477671
