,state,negative_binomial,zero_inflated_poisson
0,AL,2.638721750581745,1.1019886424697392
1,AR,1.4612576939573023,1.0136568537716575
2,AZ,5.478517775968292,5.1293498026177975
3,CA,4.927602844124776,4.243202238322893
4,CO,15.855619962995803,14.588184552333644
5,CT,0.3195162941326676,0.42651768776578836
6,DE,0.13709185317207673,0.15794674960281668
7,FL,1.129332651717521,1.0746124312296863
8,GA,0.6155292572647904,0.5614159144737709
9,IA,1.817988721639255,1.462643393786504
10,ID,1.1407352463153617,1.2919645858621882
11,IL,21.815478339534636,5.9586339646724245
12,IN,4.610705584843268,1.9987865724853275
13,KS,3.8445922634618177,2.586941859046874
14,KY,3.2546205913924853,0.6407689207688725
15,LA,2.480668999427795,3.2857654331843933
16,MA,0.6591811869944955,0.5016971296096573
17,MD,1.1805355238046122,1.0484782019082608
18,ME,0.026519172637484496,0.030106265624224998
19,MI,11.22577430165004,6.02523359296054
20,MN,1.685078037947477,1.7074844586839886
21,MO,3.860083454571931,1.0069895468344967
22,MS,7.129223260024942,3.7763496773680236
23,MT,2.2466606886088862,1.267900455154367
24,NC,1.0063765233780344,1.0527473252292205
25,ND,1.242694516160293,0.5415188047410191
26,NE,6.620302761253122,3.287332449691431
27,NH,0.012330345227157124,0.019270801358796608
28,NJ,1.0170323228936988,1.1174892383962016
29,NM,1.792143387153772,1.812061957625647
30,NV,1.5617423651115465,1.4304777216969105
31,NY,3.4584029911940495,4.303982015726694
32,OH,8.02333982620497,3.7064614692822726
33,OK,3.0106443157243756,2.27383947848148
34,OR,0.25069632270775216,0.2600495950384314
35,PA,1.4660378347094802,1.4684163883384755
36,RI,0.14863353891517933,0.09948318221448661
37,SC,0.690335880159084,0.8153687451829734
38,SD,1.8085891491098645,2.507134565903116
39,TN,1.1464441405000225,0.9172465138850925
40,TX,14.495629971551711,14.14868632953237
41,UT,1.0831420838842287,1.3297801265711513
42,VA,0.5772563438635674,0.5148742566997622
43,VT,0.17735256431995536,0.17599467029906615
44,WA,0.4535758980295677,0.33925686372850317
45,WI,0.4754975712639833,0.4379615186085975
46,WV,0.10025609062808719,0.06056006499835001
47,WY,1.3143496493674596,1.6376439005729186
