state,year,population
NJ,2018,8881845.0
NJ,2019,8878503.0
NJ,2020,8885418.0
NJ,2021,9234024.0
RI,2009,1057381.0
RI,2010,1056389.0
RI,2011,1053959.0
RI,2012,1052471.0
RI,2013,1051695.0
RI,2014,1053252.0
RI,2015,1053661.0
RI,2016,1054491.0
RI,2017,1056138.0
RI,2018,1056611.0
RI,2019,1057231.0
RI,2020,1057798.0
RI,2021,1091949.0
WA,2009,6465755.0
WA,2010,6561297.0
WA,2011,6652845.0
WA,2012,6738714.0
WA,2013,6819579.0
WA,2014,6899123.0
WA,2015,6985464.0
WA,2016,7073146.0
WA,2017,7169967.0
WA,2018,7294336.0
WA,2019,7404107.0
WA,2020,7512465.0
WA,2021,7617364.0
ID,2009,1492573.0
ID,2010,1526797.0
ID,2011,1549987.0
ID,2012,1567803.0
ID,2013,1583364.0
ID,2014,1599464.0
ID,2015,1616547.0
ID,2016,1635483.0
ID,2017,1657375.0
ID,2018,1687809.0
ID,2019,1717750.0
ID,2020,1754367.0
ID,2021,1811617.0
AR,2009,2838143.0
AR,2010,2872684.0
AR,2011,2895928.0
AR,2012,2916372.0
AR,2013,2933369.0
AR,2014,2947036.0
AR,2015,2958208.0
AR,2016,2968472.0
AR,2017,2977944.0
AR,2018,2990671.0
AR,2019,2999370.0
AR,2020,3011873.0
AR,2021,3006309.0
MO,2009,5904382.0
MO,2010,5922314.0
MO,2011,5955802.0
MO,2012,5982413.0
MO,2013,6007182.0
MO,2014,6028076.0
MO,2015,6045448.0
MO,2016,6059651.0
MO,2017,6075300.0
MO,2018,6090062.0
MO,2019,6104910.0
MO,2020,6124160.0
MO,2021,6141534.0
NH,2009,1315419.0
NH,2010,1313939.0
NH,2011,1315911.0
NH,2012,1317474.0
NH,2013,1319171.0
NH,2014,1321069.0
NH,2015,1324201.0
NH,2016,1327503.0
NH,2017,1331848.0
NH,2018,1343622.0
NH,2019,1348124.0
NH,2020,1355244.0
NH,2021,1372175.0
NY,2009,19423896.0
NY,2010,19229752.0
NY,2011,19302448.0
NY,2012,19398125.0
NY,2013,19487053.0
NY,2014,19594330.0
NY,2015,19673174.0
NY,2016,19697457.0
NY,2017,19798228.0
NY,2018,19618453.0
NY,2019,19572319.0
NY,2020,19514849.0
NY,2021,20114745.0
DE,2009,863832.0
DE,2010,881278.0
DE,2011,890856.0
DE,2012,900131.0
DE,2013,908446.0
DE,2014,917060.0
DE,2015,926454.0
DE,2016,934695.0
DE,2017,943732.0
DE,2018,949495.0
